City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
61,krasnoye,UA,2021-08-02 00:54:33,49.9145,24.6134,61.95,84,16,9.71,few clouds
62,codrington,AU,2021-08-02 00:54:34,-38.2667,141.9667,52.47,72,39,20.4,scattered clouds
63,hasaki,JP,2021-08-02 00:54:34,35.7333,140.8333,90.28,80,20,10.04,few clouds
64,puerto ayora,EC,2021-08-02 00:54:35,-0.7393,-90.3518,69.55,95,42,5.99,scattered clouds
65,jaguaquara,BR,2021-08-02 00:54:35,-13.5306,-39.9708,59.76,93,100,7.87,overcast clouds
66,fortuna,US,2021-08-02 00:52:26,40.5982,-124.1573,70.93,71,20,3.0,few clouds
67,clyde river,CA,2021-08-02 00:54:36,70.4692,-68.5914,41.23,87,75,19.57,broken clouds
68,chulman,RU,2021-08-02 00:54:36,56.8479,124.9104,53.02,98,100,2.68,light rain
69,port lincoln,AU,2021-08-02 00:54:37,-34.7333,135.8667,51.37,88,100,17.25,light rain
70,tukrah,LY,2021-08-02 00:54:37,32.5341,20.5791,79.66,70,0,8.99,clear sky
71,los llanos de aridane,ES,2021-08-02 00:54:37,28.6585,-17.9182,68.13,69,90,16.11,overcast clouds
72,yei,SS,2021-08-02 00:54:38,4.095,30.6779,66.06,96,100,4.09,overcast clouds
73,kaitangata,NZ,2021-08-02 00:54:38,-46.2817,169.8464,52.93,69,100,1.57,overcast clouds
74,port hueneme,US,2021-08-02 00:54:39,34.1478,-119.1951,102.2,65,1,19.57,clear sky
75,nikolskoye,RU,2021-08-02 00:54:39,59.7035,30.7861,61.02,83,100,5.44,light rain
76,muros,ES,2021-08-02 00:50:37,42.7762,-9.0603,64.17,91,93,7.45,overcast clouds
77,porto belo,BR,2021-08-02 00:54:40,-27.1578,-48.5531,60.78,82,100,1.74,overcast clouds
78,yura,PE,2021-08-02 00:54:40,-16.2522,-71.6797,55.92,24,0,5.75,clear sky
79,hoopstad,ZA,2021-08-02 00:54:41,-27.8327,25.9083,43.97,37,5,5.46,clear sky
80,saint-philippe,RE,2021-08-02 00:50:12,-21.3585,55.7679,67.55,72,43,7.29,scattered clouds
81,orchard homes,US,2021-08-02 00:54:41,46.8633,-114.0484,74.91,73,100,5.26,overcast clouds
82,san patricio,US,2021-08-02 00:54:41,28.017,-97.5169,90.32,68,3,13.09,clear sky
83,dunedin,NZ,2021-08-02 00:54:42,-45.8742,170.5036,50.81,75,100,21.99,overcast clouds
84,faanui,PF,2021-08-02 00:54:42,-16.4833,-151.75,78.12,69,23,15.03,few clouds
85,busselton,AU,2021-08-02 00:54:42,-33.65,115.3333,46.04,68,100,7.72,overcast clouds
86,kargasok,RU,2021-08-02 00:54:43,59.0556,80.8572,55.13,81,100,4.5,overcast clouds
87,panzhihua,CN,2021-08-02 00:54:43,26.5851,101.7128,74.39,79,0,0.83,clear sky
88,upington,ZA,2021-08-02 00:54:44,-28.4478,21.2561,48.58,46,0,4.61,clear sky
89,luderitz,NA,2021-08-02 00:54:44,-26.6481,15.1594,63.1,38,0,7.34,clear sky
90,kampot,KH,2021-08-02 00:50:09,10.6167,104.1833,78.85,79,100,12.97,overcast clouds
91,naze,JP,2021-08-02 00:54:45,28.3667,129.4833,85.12,86,64,17.02,broken clouds
92,longyearbyen,SJ,2021-08-02 00:54:45,78.2186,15.6401,44.44,76,75,13.8,broken clouds
93,qaqortoq,GL,2021-08-02 00:54:25,60.7167,-46.0333,49.95,79,100,2.08,overcast clouds
94,victoria,HK,2021-08-02 00:54:00,22.2855,114.1577,86.97,88,100,1.01,light rain
95,yellowknife,CA,2021-08-02 00:54:46,62.456,-114.3525,88.29,28,20,6.91,few clouds
96,pevek,RU,2021-08-02 00:52:12,69.7008,170.3133,34.63,92,100,16.02,overcast clouds
97,ylivieska,FI,2021-08-02 00:54:46,64.0833,24.55,60.31,99,47,4.03,scattered clouds
98,kavieng,PG,2021-08-02 00:54:46,-2.5744,150.7967,83.03,76,13,7.99,light rain
99,qaanaaq,GL,2021-08-02 00:54:47,77.484,-69.3632,42.01,84,74,2.15,broken clouds
100,port alfred,ZA,2021-08-02 00:53:21,-33.5906,26.891,60.84,82,75,21.85,broken clouds
101,samana,DO,2021-08-02 00:54:47,19.2056,-69.3369,79.16,85,100,8.77,overcast clouds
102,bandarbeyla,SO,2021-08-02 00:54:48,9.4942,50.8122,82.09,62,11,27.92,few clouds
103,biak,ID,2021-08-02 00:54:48,-0.9131,122.8766,80.83,71,15,6.17,few clouds
104,te anau,NZ,2021-08-02 00:54:49,-45.4167,167.7167,48.36,83,100,2.13,light rain
105,norman wells,CA,2021-08-02 00:52:26,65.282,-126.8329,91.44,22,20,4.61,smoke
106,pacific grove,US,2021-08-02 00:54:49,36.6177,-121.9166,81.57,72,34,8.01,scattered clouds
107,lorengau,PG,2021-08-02 00:54:49,-2.0226,147.2712,84.56,76,27,11.14,scattered clouds
108,puerto escondido,MX,2021-08-02 00:54:50,15.85,-97.0667,82.67,77,86,1.48,overcast clouds
109,kyotera,UG,2021-08-02 00:54:50,-0.6156,31.5175,64.11,59,93,4.56,overcast clouds
110,margate,GB,2021-08-02 00:54:50,51.3813,1.3862,59.7,84,87,9.86,overcast clouds
111,curuca,BR,2021-08-02 00:54:51,-0.7289,-47.8481,72.86,92,75,3.98,broken clouds
112,jiaonan,CN,2021-08-02 00:54:51,35.8786,119.9753,78.82,88,86,4.12,light rain
113,kruisfontein,ZA,2021-08-02 00:54:52,-34.0033,24.7314,57.88,81,84,12.62,light rain
114,vaini,TO,2021-08-02 00:54:52,-21.2,-175.2,77.16,73,20,18.41,light rain
115,broome,US,2021-08-02 00:54:52,42.2506,-75.833,62.2,97,75,0.0,broken clouds
116,bereda,ES,2021-08-02 00:54:53,43.2686,-7.5406,59.41,100,96,2.86,overcast clouds
117,vestmannaeyjar,IS,2021-08-02 00:54:53,63.4427,-20.2734,53.8,90,92,4.83,overcast clouds
118,le pont-de-claix,FR,2021-08-02 00:54:53,45.1244,5.7064,59.92,83,100,1.74,overcast clouds
119,cabo san lucas,MX,2021-08-02 00:51:50,22.8909,-109.9124,94.51,72,20,4.0,few clouds
120,lata,PT,2021-08-02 00:54:54,40.1629,-8.3327,65.91,97,100,1.07,overcast clouds
121,carnarvon,AU,2021-08-02 00:53:08,-24.8667,113.6333,50.07,56,0,10.36,clear sky
122,ornskoldsvik,SE,2021-08-02 00:54:54,63.2909,18.7153,52.75,71,90,8.05,overcast clouds
123,aklavik,CA,2021-08-02 00:54:55,68.2191,-135.0107,77.72,50,100,13.62,overcast clouds
124,lokosovo,RU,2021-08-02 00:54:55,61.1333,74.8167,54.27,95,100,7.74,moderate rain
125,torbay,CA,2021-08-02 00:52:58,47.6666,-52.7314,61.57,86,20,12.66,few clouds
126,miraflores,MX,2021-08-02 00:54:56,19.2167,-98.8083,60.87,86,98,2.48,light rain
127,ponta do sol,PT,2021-08-02 00:54:56,32.6667,-17.1,72.23,89,2,4.03,clear sky
128,chuy,UY,2021-08-02 00:52:54,-33.6971,-53.4616,50.59,93,74,6.2,broken clouds
129,sinnamary,GF,2021-08-02 00:54:57,5.3833,-52.95,78.03,84,3,8.05,clear sky
130,mayo,US,2021-08-02 00:54:57,38.8876,-76.5119,76.15,92,0,1.01,clear sky
131,dieppe,FR,2021-08-02 00:52:36,49.75,1.1667,58.21,97,18,5.66,few clouds
132,teya,RU,2021-08-02 00:54:39,60.3778,92.6267,61.05,78,92,3.06,light rain
133,antofagasta,CL,2021-08-02 00:54:58,-23.65,-70.4,58.28,77,25,2.57,scattered clouds
134,kentau,KZ,2021-08-02 00:54:58,43.5206,68.5094,80.85,17,61,21.79,broken clouds
135,spilimbergo,IT,2021-08-02 00:54:59,46.1125,12.8969,63.1,74,97,7.25,overcast clouds
136,nemuro,JP,2021-08-02 00:54:59,43.3236,145.575,63.03,99,100,6.13,overcast clouds
137,goderich,CA,2021-08-02 00:51:37,43.7501,-81.7165,65.91,72,75,10.36,broken clouds
138,at-bashi,KG,2021-08-02 00:54:59,41.1702,75.8106,59.67,58,100,0.76,overcast clouds
139,nadadores,MX,2021-08-02 00:55:00,27.05,-101.6,95.02,30,0,18.9,clear sky
140,tazovskiy,RU,2021-08-02 00:55:00,67.4667,78.7,54.63,74,100,9.26,overcast clouds
141,yeniseysk,RU,2021-08-02 00:55:00,58.4497,92.1703,62.33,84,63,2.08,broken clouds
142,paita,PE,2021-08-02 00:55:01,-5.0892,-81.1144,66.06,80,0,16.89,clear sky
143,solec kujawski,PL,2021-08-02 00:55:01,53.0837,18.2257,60.87,77,100,4.0,overcast clouds
144,port hardy,CA,2021-08-02 00:55:02,50.6996,-127.4199,64.58,77,20,14.97,few clouds
145,alyangula,AU,2021-08-02 00:53:27,-13.8483,136.4192,80.47,78,90,9.22,overcast clouds
146,parry sound,CA,2021-08-02 00:55:02,45.3501,-80.033,66.25,77,100,5.5,overcast clouds
147,coxim,BR,2021-08-02 00:55:03,-18.5067,-54.76,70.92,36,0,5.37,clear sky
148,saldanha,ZA,2021-08-02 00:53:42,-33.0117,17.9442,48.25,87,40,8.16,scattered clouds
149,abu samrah,SY,2021-08-02 00:55:04,35.3029,37.1841,77.11,46,0,7.09,clear sky
150,alofi,NU,2021-08-02 00:55:04,-19.0595,-169.9187,80.49,61,50,20.71,scattered clouds
151,lavrentiya,RU,2021-08-02 00:55:04,65.5833,-171.0,43.27,79,100,18.59,overcast clouds
152,katsuura,JP,2021-08-02 00:55:05,35.1333,140.3,87.82,79,87,8.34,overcast clouds
153,soc trang,VN,2021-08-02 00:55:05,9.6033,105.98,78.76,75,90,13.06,overcast clouds
154,revelganj,IN,2021-08-02 00:55:05,25.7833,84.6667,76.91,78,100,1.97,heavy intensity rain
155,bogdanita,RO,2021-08-02 00:55:06,46.45,27.6833,76.91,70,1,8.32,clear sky
156,alcudia,ES,2021-08-02 00:55:06,39.8532,3.1214,74.17,72,100,5.26,overcast clouds
157,ixtapa,MX,2021-08-02 00:55:06,20.7,-105.2,82.69,85,7,2.68,clear sky
158,camana,PE,2021-08-02 00:55:07,-16.6228,-72.7111,62.29,81,37,7.23,scattered clouds
159,karratha,AU,2021-08-02 00:55:07,-20.7377,116.8463,66.18,42,0,21.23,clear sky
160,namatanai,PG,2021-08-02 00:55:07,-3.6667,152.4333,84.42,70,26,6.13,scattered clouds
161,shiringushi,RU,2021-08-02 00:55:08,53.8485,42.7676,67.23,66,7,7.94,clear sky
162,labuhan,ID,2021-08-02 00:55:08,-6.8844,112.2051,80.24,70,28,7.87,scattered clouds
163,camacha,PT,2021-08-02 00:55:09,33.0833,-16.3333,68.76,78,40,14.97,scattered clouds
164,kwidzyn,PL,2021-08-02 00:55:09,53.7249,18.9311,61.25,90,100,6.35,overcast clouds
165,hermanus,ZA,2021-08-02 00:55:09,-34.4187,19.2345,55.8,86,97,5.35,overcast clouds
166,sayyan,YE,2021-08-02 00:55:10,15.1718,44.3244,59.72,77,100,4.25,overcast clouds
167,yulara,AU,2021-08-02 00:55:10,-25.2406,130.9889,55.24,44,0,13.8,clear sky
168,olafsvik,IS,2021-08-02 00:52:05,64.8945,-23.7142,53.35,90,67,3.33,broken clouds
169,tortosa,ES,2021-08-02 00:55:11,40.8125,0.5216,71.19,58,59,2.66,broken clouds
170,coos bay,US,2021-08-02 00:55:11,43.3665,-124.2179,67.98,91,75,17.27,broken clouds
171,souillac,MU,2021-08-02 00:54:37,-20.5167,57.5167,68.38,83,40,11.5,scattered clouds
172,veraval,IN,2021-08-02 00:55:12,20.9,70.3667,81.28,86,100,19.82,overcast clouds
173,puerto del rosario,ES,2021-08-02 00:55:12,28.5004,-13.8627,69.55,78,21,18.41,few clouds
